year,children,production,aging
"1970",13709367,17540152,991308
"1971",13764089,18064092,1054523
"1972",13858472,18602276,1044658
"1973",13849385,19176510,1077254
"1974",13790071,19781685,1120510
"1975",13614403,20448875,1217447
"1976",13434830,21151580,1262113
"1977",13273107,21829330,1309358
"1978",13116029,22495994,1357162
"1979",13005315,23123979,1404942
"1980",12950775,23716967,1456033
"1981",12925036,24300033,1498179
"1982",12886600,24880337,1559415
"1983",12800968,25494901,1614534
"1984",12591760,26140581,1673615
"1985",12304542,26759353,1741849
"1986",12029833,27383105,1800736
"1987",11746377,27998885,1876428
"1988",11487445,28581942,1961860
"1989",11261131,29134922,2052985
"1990",10973592,29700607,2195084
"1991",10858720,30170543,2266441
"1992",10791426,30610680,2345856
"1993",10734528,31023107,2436993
"1994",10653446,31445602,2542492
"1995",10536828,31899511,2656652
"1996",10403277,32326522,2794882
"1997",10233102,32791167,2929311
"1998",10091517,33125933,3069053
"1999",9972894,33420207,3223576
"2000",9911229,33701986,3394896
"2001",9852452,33946787,3570925
"2002",9732348,34155443,3756945
"2003",9584906,34367560,3939864
"2004",9430513,34521703,4130303
"2005",9223260,34640514,4320787
"2006",8979585,34932893,4525814
"2007",8714382,35208580,4760676
"2008",8478823,35587293,4988592
"2009",8229264,35901685,5176886
"2010",7979439,36208564,5366109
"2011",7771460,36649999,5515179
"2012",7577231,36855893,5766729
"2013",7392237,37013997,6022659
"2014",7213693,37255840,6277126
"2015",7029883,37443896,6541168
"2016",6864563,37596157,6757083
"2017",6724283,37571568,7066060
"2018",6595054,37623919,7366085
"2019",6448080,37627748,7688994
"2020",6305870,37378502,8151867
"2021",6148341,37051333,8569865
"2022",5947964,36743472,8981133
"2023",5705235,36571568,9435816
